BiomarcadorID;Expressao_Tumoral;Conservacao;Similaridade_Humana;Localizacao
B0000380;78.8;96;2;1
B0000381;84.61;92;22;0
B0000382;38.19;70;64;2
B0000383;67.62;63;20;2
B0000384;44.11;60;4;1
B0000385;38.12;87;7;1
B0000386;79.4;100;14;1
B0000387;79.4;91;27;1
B0000388;31.01;61;7;2
B0000389;94.33;94;2;1
B0000390;45.91;88;68;1
B0000391;71.85;87;14;0
B0000392;55.73;63;26;2
B0000393;85.36;95;24;1
B0000394;44.57;81;93;2
B0000395;59.59;100;25;0
B0000396;74.41;98;2;1
B0000397;57.45;98;4;1
B0000398;70.17;62;26;0
B0000399;51.95;97;99;1
B0000400;77.5;72;70;1
B0000401;75.66;64;15;0
B0000402;98.5;73;24;1
B0000403;57.86;78;25;2
B0000404;99.59;82;16;1
B0000405;54.68;76;28;0
B0000406;71.66;61;27;0
B0000407;68.78;67;8;1
B0000408;73.06;66;28;1
B0000409;62.39;88;80;2
B0000410;83.33;69;15;2
B0000411;21.37;94;9;2
B0000412;97.59;78;67;1
B0000413;82.72;97;25;1
B0000414;67.31;80;38;0
B0000415;99.89;69;10;1
B0000416;44.07;86;6;2
B0000417;33.26;70;72;2
B0000418;48.2;61;86;1
B0000419;86.98;91;14;0
B0000420;60.09;69;22;1
B0000421;86.43;85;35;2
B0000422;89.89;92;16;1
B0000423;34.38;98;4;2
B0000424;84.67;92;11;0
B0000425;70.93;82;27;1
B0000426;70.84;78;11;0
B0000427;78.22;71;27;1
B0000428;90.25;91;75;0
B0000429;54.89;88;9;1
B0000430;60.27;67;6;1
B0000431;34.67;63;8;2
B0000432;43.16;74;73;1
B0000433;44.17;99;32;1
B0000434;24.26;62;53;2
B0000435;88.21;82;42;1
B0000436;78.51;99;2;0
B0000437;53.91;79;18;0
B0000438;27.25;100;8;1
B0000439;46.78;69;100;1
B0000440;55.72;96;8;1
B0000441;88.41;93;2;1
B0000442;69.01;72;6;2
B0000443;23.22;69;26;1
B0000444;36.84;69;29;0
B0000445;42.13;100;65;1
B0000446;58.72;85;27;0
B0000447;93.66;62;15;1
B0000448;44.78;71;23;0
B0000449;54.68;78;97;0
B0000450;50.64;84;9;0
B0000451;82.41;66;96;0
B0000452;49.76;71;9;0
B0000453;51.78;72;64;1
B0000454;68.82;99;27;1
B0000455;55.51;68;22;0
B0000456;51.86;77;31;2
B0000457;59.46;96;25;1
B0000458;33.81;91;3;2
B0000459;43.64;85;26;0
B0000460;23.1;94;7;1
B0000461;89.53;69;68;0
B0000462;45.01;66;12;1
B0000463;65.0;74;74;1
B0000464;77.24;83;25;1
B0000465;23.35;72;4;2
B0000466;72.26;72;4;2
B0000467;63.86;80;25;0
B0000468;87.16;67;50;2
B0000469;72.08;98;58;0
B0000470;32.0;66;8;1
B0000471;58.74;85;23;2
B0000472;74.58;69;14;0
B0000473;50.57;83;5;1
B0000474;60.99;70;96;0
B0000475;94.93;71;28;0
B0000476;82.11;89;22;2
B0000477;32.8;71;23;1
B0000478;56.33;82;29;0
B0000479;96.38;98;51;1
B0000480;94.3;62;2;1
B0000481;40.63;99;28;0
B0000482;65.98;88;25;0
B0000483;53.3;71;9;2
B0000484;62.03;90;17;2
B0000485;38.08;96;6;2
B0000486;97.31;88;93;2
B0000487;74.61;71;21;1
B0000488;53.86;66;25;1
B0000489;84.66;66;18;0
B0000490;62.41;93;28;1
B0000491;87.12;63;39;1
B0000492;21.41;90;14;2
B0000493;29.1;70;27;0
B0000494;24.83;98;27;0
B0000495;74.96;61;23;0
B0000496;48.37;87;23;0
B0000497;61.27;88;18;1
B0000498;38.98;88;4;1
B0000499;96.25;85;22;0
B0000500;40.36;87;80;2
B0000501;86.07;89;16;0
B0000502;70.34;67;13;0
B0000503;49.67;66;24;1
B0000504;76.3;77;25;0
B0000505;54.94;72;100;1
B0000506;67.66;71;25;1
B0000507;22.0;75;15;1
B0000508;20.62;72;30;1
B0000509;61.98;87;14;0
B0000510;52.52;75;90;0
B0000511;57.41;98;36;1
B0000512;88.94;62;22;2
B0000513;88.03;92;16;2
B0000514;32.35;94;12;2
B0000515;31.24;97;2;1
B0000516;64.54;97;16;0
B0000517;81.78;71;53;0
B0000518;70.67;93;1;1
B0000519;36.15;90;8;2
B0000520;51.11;60;2;0
B0000521;42.81;82;73;0
B0000522;68.96;74;30;0
B0000523;88.23;91;4;0
B0000524;88.87;97;61;1
B0000525;93.45;83;27;1
B0000526;57.7;87;26;0
B0000527;92.93;72;4;1
B0000528;55.73;86;14;1
B0000529;78.25;86;49;1
B0000530;83.31;90;28;0
B0000531;49.76;99;15;2
B0000532;59.67;90;1;1
B0000533;92.49;99;59;1
B0000534;74.59;70;5;0
B0000535;73.97;78;3;0
B0000536;51.81;63;93;2
B0000537;94.7;98;81;2
B0000538;25.97;90;11;1
B0000539;40.3;63;56;2
B0000540;72.85;71;4;1
B0000541;29.58;84;22;1
B0000542;87.56;66;17;2
B0000543;98.22;84;51;2
B0000544;59.19;75;5;1
B0000545;72.22;62;23;0
B0000546;63.8;84;19;0
B0000547;79.55;76;13;2
B0000548;53.88;88;63;1
B0000549;21.24;66;13;2
B0000550;39.64;70;37;2
B0000551;20.87;88;15;0
B0000552;80.58;93;19;2
B0000553;26.51;79;7;1
B0000554;68.39;97;13;2
B0000555;98.52;84;18;1
B0000556;30.66;80;9;2
B0000557;70.16;89;2;2
B0000558;39.28;70;64;1
B0000559;79.62;65;26;1
B0000560;96.71;80;23;2
B0000561;23.16;69;13;1
B0000562;32.57;63;12;0
B0000563;95.36;74;0;1
B0000564;81.15;94;8;0
B0000565;48.58;92;18;1
B0000566;35.44;89;25;2
B0000567;61.51;78;15;1
B0000568;98.05;70;10;1
B0000569;49.14;84;94;1
B0000570;63.9;99;40;1
B0000571;67.38;66;16;1
B0000572;62.97;77;7;1
B0000573;88.83;92;11;1
B0000574;48.87;73;10;1
B0000575;93.93;77;11;1
B0000576;39.09;68;68;2
B0000577;83.31;79;55;1
B0000578;32.63;88;41;2
B0000579;83.85;79;74;1
B0000580;73.53;79;37;2
B0000581;26.37;91;11;1
B0000582;85.67;82;30;2
B0000583;81.32;76;7;1
B0000584;72.29;67;23;0
B0000585;59.72;64;0;0
B0000586;54.27;78;15;2
B0000587;62.33;84;85;0
B0000588;77.46;81;18;2
B0000589;91.91;62;20;1
B0000590;39.87;89;52;0
B0000591;58.72;62;18;1
B0000592;98.45;86;20;0
B0000593;40.93;84;6;0
B0000594;23.26;69;79;0
B0000595;95.29;60;13;2
B0000596;78.08;100;11;0
B0000597;91.04;86;0;0
B0000598;85.17;82;14;0
B0000599;40.81;72;8;2
B0000600;58.83;94;44;0
B0000601;67.67;71;16;0
B0000602;65.72;67;55;1
B0000603;67.87;77;11;1
B0000604;55.14;93;9;2
B0000605;46.49;96;5;2
B0000606;32.96;98;23;2
B0000607;30.81;66;8;0
B0000608;21.34;79;21;2
B0000609;28.3;95;24;2
B0000610;36.67;77;11;2
B0000611;20.86;67;7;1
B0000612;83.93;83;18;0
B0000613;28.25;68;51;2
B0000614;81.17;61;7;0
B0000615;90.3;73;18;2
B0000616;92.58;78;21;1
B0000617;74.28;98;79;0
B0000618;62.3;76;29;0
B0000619;43.19;68;20;2
B0000620;37.38;79;8;2
B0000621;67.57;65;78;0
B0000622;47.23;87;28;0
B0000623;43.56;67;3;2
B0000624;47.14;61;22;0
B0000625;56.53;74;14;2
B0000626;71.24;73;26;0
B0000627;33.06;68;12;0
B0000628;48.06;71;5;0
B0000629;88.25;95;24;0
B0000630;22.06;74;28;1
B0000631;56.87;93;21;0
B0000632;53.11;71;22;0
B0000633;92.91;63;26;1
B0000634;86.41;84;23;2
B0000635;36.24;93;18;2
B0000636;87.66;82;8;1
B0000637;21.03;69;86;1
B0000638;81.56;77;17;0
B0000639;23.27;77;1;1
B0000640;97.16;89;15;1
B0000641;83.26;75;48;0
B0000642;41.03;89;6;2
B0000643;31.23;84;23;2
B0000644;77.38;84;26;1
B0000645;63.34;80;24;1
B0000646;42.36;96;63;1
B0000647;22.61;96;42;0
B0000648;59.38;72;39;1
B0000649;76.04;85;55;0
B0000650;34.29;99;25;1
B0000651;40.22;83;14;0
B0000652;35.64;79;0;1
B0000653;54.44;80;33;2
B0000654;56.67;93;71;1
B0000655;81.84;63;9;0
B0000656;57.46;81;27;2
B0000657;95.44;62;1;1
B0000658;43.57;81;63;2
B0000659;97.56;68;26;1
B0000660;95.73;96;12;0
B0000661;76.87;97;93;1
B0000662;67.9;92;99;2
B0000663;90.2;85;17;1
B0000664;57.35;83;76;2
B0000665;86.93;88;4;1
B0000666;52.83;63;69;2
B0000667;45.19;62;71;2
B0000668;99.14;79;51;0
B0000669;28.15;64;6;0
B0000670;58.1;67;5;1
B0000671;92.81;69;12;0
B0000672;81.45;86;68;1
B0000673;22.29;93;7;2
B0000674;21.14;92;29;1
B0000675;84.8;79;13;2
B0000676;57.22;97;79;0
B0000677;56.88;61;87;1
B0000678;57.63;68;91;2
B0000679;73.99;72;50;1
B0000680;31.32;88;28;2
B0000681;98.92;91;0;2
B0000682;52.06;76;76;0
B0000683;46.37;93;8;1
B0000684;64.75;65;13;0
B0000685;97.37;86;40;0
B0000686;83.11;93;19;0
B0000687;47.22;65;4;1
B0000688;45.73;89;41;2
B0000689;80.04;73;26;1
B0000690;27.41;90;8;0
B0000691;78.54;76;7;0
B0000692;67.0;87;15;1
B0000693;67.88;69;3;2
B0000694;31.45;86;43;1
B0000695;23.63;79;16;0
B0000696;94.65;95;1;0
B0000697;81.48;96;14;2
B0000698;47.07;94;4;0
B0000699;96.95;77;79;1
B0000700;87.87;82;1;2
B0000701;83.33;96;27;0
B0000702;98.4;75;29;1
B0000703;77.77;83;85;0
B0000704;61.89;69;91;1
B0000705;92.17;62;8;0
B0000706;28.94;82;7;1
B0000707;86.37;98;58;0
B0000708;45.03;90;21;2
B0000709;21.41;76;31;1
B0000710;30.28;91;11;0
B0000711;35.72;67;8;2
B0000712;27.98;63;22;2
B0000713;23.83;62;24;0
B0000714;56.46;72;30;1
B0000715;51.62;67;53;0
B0000716;46.87;83;10;2
B0000717;24.73;81;20;2
B0000718;70.51;72;7;2
B0000719;36.19;70;99;0
B0000720;80.17;72;2;1
B0000721;36.21;92;9;0
B0000722;34.68;70;29;1
B0000723;98.96;76;80;0
B0000724;20.52;67;38;1
B0000725;53.26;72;46;2
B0000726;80.65;68;11;1
B0000727;74.57;72;12;2
B0000728;24.45;68;47;1
B0000729;30.34;99;21;1
B0000730;36.73;62;14;2
B0000731;80.51;80;67;1
B0000732;60.11;91;5;0
B0000733;41.89;72;57;2
B0000734;97.58;95;40;2
B0000735;56.33;91;4;1
B0000736;84.48;99;24;1
B0000737;80.34;94;86;1
B0000738;78.86;76;15;0
B0000739;44.18;92;8;2
B0000740;79.16;71;5;2
B0000741;92.1;68;9;0
B0000742;39.5;85;26;0
B0000743;70.21;78;13;1
B0000744;33.54;88;41;0
B0000745;66.04;70;3;0
B0000746;60.66;69;15;2
B0000747;57.82;61;29;2
B0000748;91.24;73;44;1
B0000749;66.58;71;66;0
B0000750;43.67;67;20;2
B0000751;86.2;67;29;0
B0000752;64.15;88;27;2
B0000753;61.13;73;13;1
B0000754;85.65;87;26;1
B0000755;51.98;90;21;1
B0000756;58.06;77;29;2
B0000757;25.09;63;11;1
B0000758;79.79;78;16;0
B0000759;60.98;82;92;1
B0000760;73.47;60;18;1
B0000761;20.0;83;97;2
B0000762;52.86;91;78;2
B0000763;28.46;69;24;2
B0000764;64.17;78;83;2
B0000765;31.59;69;4;2
B0000766;98.8;89;18;2
B0000767;99.92;96;5;2
B0000768;39.52;71;10;1
B0000769;99.98;92;29;0
B0000770;48.68;92;28;0
B0000771;97.75;84;21;2
B0000772;69.7;60;7;0
B0000773;29.56;79;8;0
B0000774;84.77;94;9;1
B0000775;79.18;67;69;2
B0000776;42.15;80;24;0
B0000777;36.73;94;17;1
B0000778;42.19;61;7;1
B0000779;25.0;94;16;1
B0000780;69.93;82;29;0
B0000781;79.14;89;94;0
B0000782;56.22;73;29;1
B0000783;26.26;74;8;0
B0000784;71.54;84;97;0
B0000785;97.47;73;39;0
B0000786;21.63;92;17;2
B0000787;42.65;97;86;1
B0000788;86.9;64;56;0
B0000789;63.46;77;1;2
B0000790;41.84;65;1;0
B0000791;39.02;73;18;1
B0000792;94.86;62;19;0
B0000793;37.36;75;20;1
B0000794;65.41;84;14;2
B0000795;44.57;74;27;1
B0000796;58.86;73;21;1
B0000797;28.06;67;68;0
B0000798;44.28;86;17;1
B0000799;73.05;80;82;2
B0000800;91.17;75;80;2
B0000801;65.57;90;61;2
B0000802;29.44;90;8;0
B0000803;94.81;82;90;1
B0000804;36.1;95;38;0
B0000805;31.13;84;60;0
B0000806;49.2;98;59;0
B0000807;52.14;64;4;1
B0000808;56.42;77;70;1
B0000809;88.59;92;86;0
B0000810;65.64;83;39;2
B0000811;61.67;94;10;2
B0000812;76.77;85;76;1
B0000813;78.47;100;9;0
B0000814;91.75;100;83;2
B0000815;66.97;96;86;0
B0000816;78.28;73;14;0
B0000817;56.04;90;73;0
B0000818;49.05;82;88;2
B0000819;70.16;90;14;0
B0000820;80.05;95;22;1
B0000821;41.81;98;60;2
B0000822;77.02;87;6;0
B0000823;83.67;77;8;0
B0000824;40.37;97;25;1
B0000825;97.56;88;28;0
B0000826;63.14;98;3;1
B0000827;69.98;92;24;0
B0000828;86.15;77;27;2
B0000829;33.19;71;21;2
B0000830;81.18;87;9;0
B0000831;29.06;81;48;1
B0000832;56.19;72;86;1
B0000833;30.42;100;19;1
B0000834;81.59;88;99;1
B0000835;96.17;78;2;0
B0000836;72.72;91;60;2
B0000837;44.18;61;18;0
B0000838;21.18;67;80;0
B0000839;82.54;100;0;1
B0000840;25.7;95;77;2
B0000841;98.97;64;23;1
B0000842;27.01;76;15;1
B0000843;52.82;91;17;2
B0000844;32.15;74;76;0
B0000845;78.73;81;84;2
B0000846;95.37;91;6;2
B0000847;93.77;85;16;1
B0000848;80.9;82;24;2
B0000849;99.96;89;0;0
B0000850;35.81;89;14;2
B0000851;89.78;90;19;0
B0000852;91.3;77;82;2
B0000853;35.34;64;15;1
B0000854;86.4;78;62;1
B0000855;87.38;93;28;0
B0000856;93.8;70;7;2
B0000857;45.4;85;12;2
B0000858;62.86;100;10;2
B0000859;50.84;92;2;0
B0000860;60.42;98;53;0
B0000861;20.25;92;39;0
B0000862;59.61;71;8;0
B0000863;85.38;96;11;2
B0000864;56.05;96;72;1
B0000865;91.75;69;17;2
B0000866;35.83;62;7;1
B0000867;36.52;89;65;2
B0000868;40.47;85;2;0
B0000869;21.06;97;24;1
B0000870;85.95;63;56;2
B0000871;54.06;91;62;1
B0000872;66.99;94;21;1
B0000873;84.14;69;12;2
B0000874;85.74;74;26;1
B0000875;71.88;95;24;1
B0000876;73.71;71;5;1
B0000877;59.32;67;7;0
B0000878;37.12;76;90;2
B0000879;67.67;62;23;1
B0000880;21.72;78;24;2
B0000881;38.52;100;86;0
B0000882;43.64;79;21;2
B0000883;39.65;89;23;0
B0000884;66.7;86;5;1
B0000885;75.96;88;76;0
B0000886;28.29;80;76;2
B0000887;67.87;95;21;1
B0000888;95.96;77;21;2
B0000889;23.25;88;54;1
B0000890;90.89;65;19;1
B0000891;57.32;83;9;0
B0000892;33.25;69;16;2
B0000893;56.06;76;85;1
B0000894;79.02;64;59;0
B0000895;27.89;73;5;2
B0000896;51.4;61;15;0
B0000897;83.34;95;96;1
B0000898;97.97;91;2;0
B0000899;90.52;83;17;0
B0000900;53.73;69;50;1
B0000901;57.67;93;80;0
B0000902;62.95;88;6;1
B0000903;47.91;77;80;1
B0000904;56.59;74;4;0
B0000905;35.14;88;1;2
B0000906;26.16;80;56;1
B0000907;28.08;71;29;1
B0000908;75.58;99;14;0
B0000909;43.08;65;16;2
B0000910;52.6;74;24;1
B0000911;84.12;81;34;1
B0000912;74.53;69;33;0
B0000913;87.61;95;8;0
B0000914;51.04;98;24;0
B0000915;96.96;61;47;0
B0000916;70.77;62;19;1
B0000917;96.39;66;28;0
B0000918;88.27;89;22;2
B0000919;68.5;65;53;0
B0000920;53.7;76;5;2
B0000921;67.98;91;18;1
B0000922;86.39;65;50;1
B0000923;86.73;61;4;0
B0000924;38.96;76;17;2
B0000925;21.32;78;31;2
B0000926;58.54;98;11;2
B0000927;33.32;93;22;1
